PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
2682,440176590,155548376,COC(=O)C1=C(NC2=CC=CC=C21)C(CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,22.9,%,Average; N=2,
2683,440176596,45499483,CC1=C(C(=CC=C1)NC(=O)CSC2=NN=C3N2C=CN4C3=CC(=N4)C5=CC=C(C=C5)F)C,Unspecified,,,,,Inhibition,=,-11.28,%,Average; N=3,Outside typical range
2684,440176608,49662924,CCC1=CC=CC=C1NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=CC=CC=C4CC,Unspecified,,,,,Inhibition,=,13.37,%,Average; N=4,
2685,440176625,49662874,CC1=C(C(=CC=C1)NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4CCCCC4)C,Unspecified,,,,,Inhibition,=,2.67,%,Average; N=4,
2686,440176690,91623458,COC1=CC=C(C=C1)N2C=CN3C(=NN=C3C2=O)C4=CC(=CC=C4)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,3.65,%,Average; N=4,
2687,440176714,49666208,COC1=CC=CC(=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CN4C=NN=C4C=C3,Unspecified,,,,,Inhibition,=,-6.52,%,Average; N=4,
2688,440176793,49663031,CC1=C(C=C(C=C1)C2=NN3C(=NN(C3=O)CC(=O)NC4=CC(=C(C=C4)OC)OC)C=C2)C,Unspecified,,,,,Inhibition,=,11.61,%,Average; N=4,
2689,440176803,49663051,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)CN3C(=O)N4C(=N3)C=CC(=N4)C5=CC=C(C=C5)Cl,Unspecified,,,,,Inhibition,=,4.1,%,Average; N=4,
2690,440176823,679779,COC1=C(C=C(C=C1)/C=C/2\C(=O)OC(=N2)C3=CC=CC=C3)OC,Unspecified,,,,,Inhibition,=,-19.31,%,Average; N=2,Outside typical range
2691,440176858,155548463,C1=CC=C2C(=C1)C=CC3=C2OC(=C(C3C4=CC=C(C=C4)[N+](=O)[O-])C#N)Cl,Unspecified,,,,,Inhibition,=,7.21,%,Average; N=2,
2692,440176863,54306094,COC1=CC2=C(CCC(=CC3=CC=NC=C3)C2=O)C=C1,Unspecified,,,,,Inhibition,=,21.32,%,Average; N=2,
2693,440176872,155548470,CC(C)N1C=C(C=C1C(=O)NCCN2CCOCC2)NC(=O)C3=CC(=CN3C)NC(=O)C4=CC=C(C=C4)/C=C/C5=CC(=CC=C5)OC.C(=O)(C(F)(F)F)O,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 64.5 Pct,
2694,440176895,155548482,C1=CC=C(C(=C1)C#N)C2=CC=C(C=C2)CN3C4=CC=CC=C4N=C3C5=CSC=N5,Unspecified,,,,,Inhibition,=,0.09,%,Average; N=2,
2695,440176904,49666165,CCC1=NN=C2N1C=C(C=C2)S(=O)(=O)N(CC3=CC=C(C=C3)OC)C4=CC(=CC=C4)F,Unspecified,,,,,Inhibition,=,-1.45,%,Average; N=4,
2696,440176913,23369886,C1=CC=C2C(=C1)C=CC3=C2OC(=C(C3C4=CC(=C(C=C4)Cl)Cl)C#N)N,Unspecified,,,,,Inhibition,=,0.79,%,Average; N=2,
2697,440176922,49663054,CC1=C(C=C(C=C1)C2=NN3C(=NN(C3=O)CC(=O)N4CCN(CC4)C5=CC=CC=C5F)C=C2)C,Unspecified,,,,,Inhibition,=,3.55,%,Average; N=4,
2698,440176928,53199599,CCCNC(=O)CN1C(=O)N2C3=C(C(=O)N(C2=N1)CC4=CC=CO4)SC=C3,Unspecified,,,,,Inhibition,=,2.17,%,Average; N=3,
2699,440176940,155548496,CC1CC(=O)NC2=C1C(=NC3=NC4=C(CCCC4)C(=C23)N)Br,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 6.6 Pct,
2700,440176942,49662833,CCOC(=O)C1=CC=CC=C1NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,8.61,%,Average; N=4,
2701,440176980,45499499,CCCCOC1=CC=C(C=C1)C2=NN3C=CN4C(=NN=C4SCC(=O)NC5=CC=CC(=C5)C#N)C3=C2,Unspecified,,,,,Inhibition,=,-7.95,%,Average; N=4,
2702,440177000,71711529,CC(C)OC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)/C=C\C4=CC=C(C=C4)C(C)(C)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 5.2 Pct,
2703,440177015,49667161,CC1=C(C=C(C=C1)NC2=NC(=CC3=NN(C(=O)N32)CC(=O)NC4=C(C=C(C=C4)F)F)C)F,Unspecified,,,,,Inhibition,=,8.31,%,Average; N=4,
2704,440177018,49667187,CC(C)NC(=O)CN1C(=O)N2C=CC(=NC2=N1)NC3=CC=C(C=C3)F,Unspecified,,,,,Inhibition,=,8.74,%,Average; N=4,
2705,440177029,155548539,C1CNCCN(CCCNCCN(C1)CC2=CN(N=N2)C3=CC=CC4=CC=CC=C43)CC5=CN(N=N5)C6=CC=CC7=CC=CC=C76.OCl(=O)(=O)=O.OCl(=O)(=O)=O.[Zn],Unspecified,,,,,MIC,=,4,ug.mL-1,Median N= 2,
2706,440177065,49662689,COC1=CC(=CC=C1)OC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC=C(C=C4)C(=O)OC,Unspecified,,,,,Inhibition,=,10.83,%,Average; N=4,
2707,440177112,49666141,CC1=CC=CC=C1CN(C2=CC(=CC=C2)F)S(=O)(=O)C3=CN4C=NN=C4C=C3,Unspecified,,,,,Inhibition,=,-9.31,%,Average; N=4,
2708,440177113,44117407,CC1=CC(=C(C(=C1)C)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC(C)(C)C)C,Unspecified,,,,,Inhibition,=,11.62,%,Average; N=3,
2709,440177147,45499492,C1=CC=C(C=C1)CNC(=O)CSC2=NN=C3N2C=CN4C3=CC(=N4)C5=CC=C(C=C5)F,Unspecified,,,,,Inhibition,=,-2.17,%,Average; N=3,
2710,440177182,19704035,CC(C)(C)OC(=O)NC1=C(C=CC=N1)Br,Unspecified,,,,,Inhibition,=,38.27,%,Average; N=2,
2711,440177187,49672974,CC1=CC(=CC=C1)NC(=O)C2=CN3C(=NN=C3SCC(=O)NC4=CC=C(C=C4)Br)C=C2,Unspecified,,,,,Inhibition,=,11.58,%,Average; N=4,
2712,440177216,50806383,CCOC1=CC=C(C=C1)N2C=CN3C(=NN=C3SCC(=O)N)C2=O,Unspecified,,,,,Inhibition,=,8.32,%,Average; N=4,
2713,440177253,50743138,C1=CC(=CC(=C1)C(F)(F)F)CSC2=NN=C3N2C4=C(C(=O)N3CC5=CC=C(C=C5)F)SC=C4,Unspecified,,,,,Inhibition,=,9.81,%,Average; N=4,
2714,440177295,46507434,CCOC1=CC=C(C=C1)C2=NC(=C(O2)C)CSC3=NC4=CC=CC=C4N5C3=NN=C5C(C)C,Unspecified,,,,,Inhibition,=,-10.96,%,Average; N=4,Outside typical range
2715,440177297,45499901,CCOC1=CC=C(C=C1)NC(=O)CN2C(=O)N3C=CN4C(=CC(=N4)C5=CC(=C(C=C5)C)C)C3=N2,Unspecified,,,,,Inhibition,=,-9.23,%,Average; N=4,
2716,440177379,155548673,C1=CC(=C(C(=C1)[N+](=O)[O-])C(=O)O)C(=O)NNC(=O)C2=CC=NC=C2,Unspecified,,,,,Inhibition,=,23.26,%,Average; N=2,
2717,440177390,49674361,CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CSC3=NC4=CC=CC=C4N5C3=NN=C5C(C)C,Unspecified,,,,,Inhibition,=,-9.17,%,Average; N=4,
2718,440177394,50804655,COC1=CC=CC=C1N2C=CN3C(=NN=C3SCC4=CC=CC=C4Cl)C2=O,Unspecified,,,,,Inhibition,=,15.04,%,Average; N=3,
2719,440177413,155548692,C1=CC=C2C(=C1)C=CC=C2C(=O)NNCC3=CNC4=CC=CC=C43,Unspecified,,,,,Inhibition,=,-2.49,%,Average; N=2,
2720,440177438,49673076,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)N3C=C(C=CC3=N2)C(=O)NC4=CC=C(C=C4)OC)F,Unspecified,,,,,Inhibition,=,8.14,%,Average; N=4,
2721,440177455,77528802,C1CC2=CC(=NC=C2OC1)CNC3CCN(CC3)CC4CN5C(=O)C=CC6=C5N4C(=O)C=N6,Active,,,,0.625,MIC,=,625,nM,Median N= 2,
2722,440177537,155548747,CN(CC#C)C1=C(C=C(C(=N1)N(C)CC#C)C#N)C#N,Unspecified,,,,,Inhibition,=,20.85,%,Average; N=2,
2723,440177547,49665069,CCC1=CC=C(C=C1)N(CC2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,0.63,%,Average; N=4,
2724,440177556,49667104,CC1=CC=CC=C1NC2=NC(=CC3=NN(C(=O)N32)CC(=O)NC4=CC5=C(C=C4)OCCO5)C,Unspecified,,,,,Inhibition,=,9.51,%,Average; N=4,
2725,440177576,49663089,CC1=CC(=C(C=C1)C)CN2C(=O)N3C(=N2)C=CC(=N3)C4=CC(=C(C=C4)C)C,Unspecified,,,,,Inhibition,=,6.01,%,Average; N=4,
2726,440177577,45500144,COC1=CC=C(C=C1)CNC(=O)CN2C(=O)N3C=CN4C(=CC(=N4)C5=CC=C(C=C5)Cl)C3=N2,Unspecified,,,,,Inhibition,=,6.34,%,Average; N=4,
2727,440177600,49662942,C1=CC(=CC(=C1)NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=CC=CC(=C4)F)C(F)(F)F,Unspecified,,,,,Inhibition,=,12.33,%,Average; N=4,
2728,440177604,50806303,CC1=CC(=C(C=C1)NC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC=CC=C4)C,Unspecified,,,,,Inhibition,=,7.2,%,Average; N=3,
2729,440177608,49662929,CCC1=CC=CC=C1SC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC=C(C=C4)OC,Unspecified,,,,,Inhibition,=,-2.16,%,Average; N=4,
2730,440177613,53082646,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)CSC3=NC4=CC=CC=C4N5C3=NN=C5,Unspecified,,,,,Inhibition,=,13.82,%,Average; N=4,
2731,440177640,155548787,C[C@@H]1CC[C@H]([C@H](C1)OC(=O)C(=CC2=CC=CC=C2)C(=O)C)C(C)C,Unspecified,,,,,Inhibition,=,27.78,%,Average; N=2,
2732,440177656,49662719,COC1=CC(=CC=C1)OC2=NC=CN3C2=NN(C3=O)CC(=O)NCC4=CC=C(C=C4)SC,Unspecified,,,,,Inhibition,=,10.98,%,Average; N=4,
2733,440177662,49662844,CC1=CC(=CC=C1)SC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC(=C(C=C4OC)OC)Cl,Unspecified,,,,,Inhibition,=,10.36,%,Average; N=4,
2734,440177711,49665700,CC1=CC2=NN(C(=O)N2C(=N1)C3=CC=C(C=C3)C(F)(F)F)CC(=O)NC(C)C,Unspecified,,,,,Inhibition,=,-8.3,%,Average; N=4,
2735,440177748,155548833,CC1CN(N(C1O)C(=O)OC(C)(C)C)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,60.53,%,Average; N=2,
2736,440177748,155548833,CC1CN(N(C1O)C(=O)OC(C)(C)C)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 54.7 Pct,
2737,440177829,45499616,CC1=C(C(=CC=C1)C)NC(=O)CSC2=NN=C3N2C=CN4C3=CC(=N4)C5=CC=CC=C5,Unspecified,,,,,Inhibition,=,-21.6,%,Average; N=4,Outside typical range
2738,440177905,5225092,CCCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,Unspecified,,,,,Inhibition,=,4.02,%,Average; N=2,
2739,440177931,49662923,CCC1=CC=CC=C1SC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC=C(C=C4)C,Unspecified,,,,,Inhibition,=,2.48,%,Average; N=4,
2740,440177972,50806269,C1=CC=C(C(=C1)CSC2=NN=C3N2C=CN(C3=O)C4=CC(=C(C=C4)F)F)Cl,Unspecified,,,,,Inhibition,=,11.5,%,Average; N=4,
2741,440177985,49662890,C1CCC(CC1)SC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC(=CC=C4)Br,Unspecified,,,,,Inhibition,=,-4.73,%,Average; N=4,
2742,440178089,49663401,CC1=CC=CC=C1N2CCN(CC2)C3=NC=CN4C3=NN(C4=O)CC(=O)NC5=CC=CC(=C5)C(=O)C,Unspecified,,,,,Inhibition,=,17.73,%,Average; N=4,
2743,440178123,49665061,CCC1=CC=C(C=C1)N(CC2=CC(=CC=C2)OC)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,-1.7,%,Average; N=4,
2744,440178155,49665021,C=CC1=CC=C(C=C1)CN(C2=CC(=C(C=C2)F)F)S(=O)(=O)C3=CC=CN4C3=NN=C4,Unspecified,,,,,Inhibition,=,-2.72,%,Average; N=4,
2745,440178157,50743067,CCC1=CC=C(C=C1)CN2C(=O)C3=C(C=CS3)N4C2=NN=C4SCC5=CC(=CC=C5)C(F)(F)F,Unspecified,,,,,Inhibition,=,5.26,%,Average; N=4,
2746,440178191,53061625,CC1=CC=C(C=C1)NC(=O)CN2C3=CC=CC=C3N4C(=NN=C4C(C)C)C2=O,Unspecified,,,,,Inhibition,=,-2.26,%,Average; N=4,
2747,440178235,49662940,C1=CC(=CC(=C1)SC2=NC=CN3C2=NN(C3=O)CC(=O)NC4=CC=C(C=C4)Br)F,Unspecified,,,,,Inhibition,=,3,%,Average; N=4,
2748,440178246,49663032,CC1=C(C=C(C=C1)C2=NN3C(=NN(C3=O)CC(=O)NC4=CC(=CC(=C4)OC)OC)C=C2)C,Unspecified,,,,,Inhibition,=,8.96,%,Average; N=4,
2749,440178318,50826212,CC(C)CC1=CC=C(C=C1)S(=O)(=O)NC2=NN3C=NN=C3C=C2,Unspecified,,,,,Inhibition,=,13.61,%,Average; N=4,
2750,440178325,155549097,CC1=CC=C(C=C1)C(O)SNNC2=C3C(=NN(C3=NC(=N2)C)C4=CC=CC=C4)C,Unspecified,,,,,Inhibition,=,4.03,%,Average; N=2,
2751,440178352,49815786,CC(C)C1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=CC=CC(=C4)C#N,Unspecified,,,,,Inhibition,=,14.89,%,Average; N=4,
2752,440178373,49667185,COC1=C(C=C(C=C1)NC(=O)CN2C(=O)N3C=CC(=NC3=N2)NC4=CC=C(C=C4)F)F,Unspecified,,,,,Inhibition,=,-2.83,%,Average; N=4,
2753,440178382,155549120,CN(CC#C)C1=C(C(=C(C(=N1)N)C#N)C2=CC=CC=C2)C#N,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 9.0 Pct,
2754,440178388,50806187,CC1=C(C2=CC=CC=C2N1)C(=O)CSC3=NN=C4N3C=CN(C4=O)C5=CC(=C(C=C5)F)F,Unspecified,,,,,Inhibition,=,13.1,%,Average; N=4,
2755,440178481,49662809,COC(=O)C1=CC=CC=C1NC(=O)CN2C(=O)N3C=NC4=C(C3=N2)SC(=N4)N5CCCC5,Unspecified,,,,,Inhibition,=,6.17,%,Average; N=4,
2756,440178508,219691,COC1=C(C=C(C=C1)C=C(C#N)C#N)OC,Unspecified,,,,,Inhibition,=,14.77,%,Average; N=2,
2757,440178509,50804741,CC1=C(C=C(C=C1)NC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC=CC=C4OC)F,Unspecified,,,,,Inhibition,=,12,%,Average; N=3,
2758,440178525,49673438,C1CC(OC1)CNC(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,0,%,Average; N=4,
2759,440178566,155549192,CN1C=C(C=C1C(=O)NCCCN(C)C)NC(=O)C2=CC(=CN2C)NC(=O)C3=CC(=CN3C)N=C(C4=CC=CC=C4)N.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Unspecified,,,,,Inhibition,=,0.44,%,Average; N=2,
2760,440178624,44117329,CC1=CC=CC=C1NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC4CCCCC4,Unspecified,,,,,Inhibition,=,2.21,%,Average; N=4,
2761,440178630,49666077,CC1=CC(=CC=C1)N(CC2=CC(=CC=C2)OC)S(=O)(=O)C3=CN4C(=NN=C4C=C3)C,Unspecified,,,,,Inhibition,=,1.31,%,Average; N=3,
2762,440178642,50804778,CC1=CC(=C(C=C1C)C(=O)CSC2=NN=C3N2C=CN(C3=O)C4=CC=C(C=C4)F)C,Unspecified,,,,,Inhibition,=,6.25,%,Average; N=4,
2763,440178678,49665072,CC1=CC=CC=C1CN(C2=CC=C(C=C2)C(C)C)S(=O)(=O)C3=CC=CN4C3=NN=C4C,Unspecified,,,,,Inhibition,=,9.54,%,Average; N=4,
2764,440178704,53199447,CCCCN1C(=O)C2=C(C=CS2)N3C1=NN(C3=O)CC(=O)N(C)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,-8.63,%,Average; N=3,
2765,440178737,53061534,CC1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=C(C=C(C=C4)F)F,Unspecified,,,,,Inhibition,=,10.56,%,Average; N=4,
2766,440178761,50826230,CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=NN3C=NN=C3C=C2,Unspecified,,,,,Inhibition,=,15.24,%,Average; N=4,
2767,440178785,91812635,CC1=C(C=C(C=C1)N2C=CN3C(=NN(C3=O)CC4=CC=C(C=C4)F)C2=O)C,Unspecified,,,,,Inhibition,=,10.94,%,Average; N=3,
2768,440178787,49663323,CCOC1=CC=C(C=C1)NC(=O)CN2C(=O)N3C=CN=C(C3=N2)N4CCCC(C4)C,Unspecified,,,,,Inhibition,=,4.96,%,Average; N=4,
2769,440178803,45500147,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)N3C=CN4C(=CC(=N4)C5=CC=C(C=C5)OC)C3=N2)C,Unspecified,,,,,Inhibition,=,9.35,%,Average; N=4,
2770,440178827,155549289,CS(=O)(=O)NC1=CC=C(C=C1)CC2=NOC(=N2)C3=CC4=C(C=C3)NC=C4CCN.O.O,Unspecified,,,,,Inhibition,=,12.02,%,Average; N=2,
2771,440178843,155549293,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)N3CCC(CC3)OCCOC)C)NC(=O)C4=CC=C(C=C4)/C=C/C5=CC6=CC=CC=C6N=C5,Unspecified,,,,,Inhibition,=,5.5,%,Average; N=2,
2772,440178928,60147901,CC1=NN(C2=NC=NC(=C12)NC3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,6.52,%,Average; N=2,
2773,440178936,44117374,CCC1=CC(=CC=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC(C)C,Unspecified,,,,,Inhibition,=,3.75,%,Average; N=3,
2774,440178963,49662945,COC1=C(C=C(C=C1)NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=CC=CC(=C4)F)Cl,Unspecified,,,,,Inhibition,=,6.9,%,Average; N=4,
2775,440178984,50806512,CCC(C(=O)NC1=CC=CC=C1C)SC2=NN=C3N2C=CN(C3=O)C4=CC(=CC=C4)OC,Unspecified,,,,,Inhibition,=,-3.13,%,Average; N=3,
2776,440179054,4812,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,Unspecified,,,,,Inhibition,=,7.33,%,Average; N=2,
2777,440179067,49663053,CC1=C(C=C(C=C1)C2=NN3C(=NN(C3=O)CC(=O)N4CCN(CC4)C5=CC=CC=C5OC)C=C2)C,Unspecified,,,,,Inhibition,=,13.88,%,Average; N=4,
2778,440179128,27445036,COC1=CC=CC(=C1)N2C=CN3C(=NN=C3C2=O)C4=CC=C(C=C4)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,5.77,%,Average; N=4,
2779,440179132,249817,CCOC(=O)C(=CC1=CC=CC=C1)C(=O)C,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 19.1 Pct,
2780,440179153,155549413,CCOC(=O)C1=CC(=CN1C)NC(=O)C2=CC(=CN2C)NC(=O)C3=C(SC(=N3)N)CCC(C)C,Unspecified,,,,,Inhibition,=,16.22,%,Average; N=2,
2781,440179169,399305,CSC1=NC2(CC2C3=CC=CC=C3)C(=O)N1,Unspecified,,,,,Inhibition,=,10.34,%,Average; N=2,
2782,440179170,155549419,CC1CN(OC1O)C(=O)OCC2=CC=CC=C2,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 4; Maxinhib 8.2 Pct,
2783,440179170,155549419,CC1CN(OC1O)C(=O)OCC2=CC=CC=C2,Unspecified,,,,,Inhibition,=,2.79,%,Average; N=2,
2784,440179172,50829468,CCCCN(C)C1=NN2C(=NN=C2CCC3=NC(=NO3)C4=CC(=CC=C4)Br)C=C1,Unspecified,,,,,Inhibition,=,7.62,%,Average; N=3,
2785,440179202,53082733,CCC1=NN=C2N1C3=CC=CC=C3N=C2SCC(=O)NC4=CC5=C(C=C4)OCCO5,Unspecified,,,,,Inhibition,=,-7.96,%,Average; N=4,
2786,440179210,49666206,CC1=NN=C2N1C=C(C=C2)S(=O)(=O)N(CC3=CC=CC=C3F)C4=CC(=CC=C4)Cl,Unspecified,,,,,Inhibition,=,2.13,%,Average; N=4,
2787,440179225,49815855,CCCC1=NN=C2N1C3=CC=CC=C3N(C2=O)CC(=O)NC4=CC=C(C=C4)Br,Unspecified,,,,,Inhibition,=,11.05,%,Average; N=4,
2788,440179257,1514287,CC(C)(C)OC(=O)NC1CCC(CC1)O,Unspecified,,,,,Inhibition,=,7.19,%,Average; N=2,
2789,440179258,155549451,CC1=CC=C(C=C1)S(=O)(=O)N2CC(C(=O)N2S(=O)(=O)C3=CC=C(C=C3)C)CC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,-1.12,%,Average; N=2,
2790,440179258,155549451,CC1=CC=C(C=C1)S(=O)(=O)N2CC(C(=O)N2S(=O)(=O)C3=CC=C(C=C3)C)CC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,2.54,%,Average; N=2,
2791,440179280,135968625,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)/C,Unspecified,,,,0.0781,MIC,<=,78.1,nM,Median N= 2,
2792,440179287,49662971,COC1=CC=CC=C1NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SCC4=CC=CC=C4,Unspecified,,,,,Inhibition,=,-5.43,%,Average; N=4,
2793,440179330,49667151,CCC1=CC=CC=C1NC(=O)CN2C(=O)N3C(=N2)C=C(N=C3NC4=CC(=C(C=C4)F)C)C,Unspecified,,,,,Inhibition,=,-15.94,%,Average; N=4,Outside typical range
2794,440179339,155549488,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NCCCN(C)C)C)NC(=O)C3=CC=C(C=C3)C(=O)O.C(=O)(C(F)(F)F)O,Unspecified,,,,,Inhibition,=,10.82,%,Average; N=2,
2795,440179359,44117342,C1CCC(CC1)SC2=NN3C(=NN(C3=O)CC(=O)NCC4=CC=C(C=C4)Cl)C=C2,Unspecified,,,,,Inhibition,=,6.56,%,Average; N=4,
2796,440179440,49667190,CN(C1=CC=CC=C1)C(=O)CN2C(=O)N3C=CC(=NC3=N2)NC4=CC=C(C=C4)F,Unspecified,,,,,Inhibition,=,-13.79,%,Average; N=4,Outside typical range
2797,440179446,91812624,C1=CC=C(C=C1)N2C=CN3C(=NN(C3=O)CC4=CC=C(C=C4)F)C2=O,Unspecified,,,,,Inhibition,=,14.99,%,Average; N=3,
2798,440179468,49666092,COC1=CC=CC(=C1)N(CC2=CC=C(C=C2)F)S(=O)(=O)C3=CN4C=NN=C4C=C3,Unspecified,,,,,Inhibition,=,-0.47,%,Average; N=3,
2799,440179477,44117373,CC1=CC(=C(C=C1)NC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC(C)C)Cl,Unspecified,,,,,Inhibition,=,-9.9,%,Average; N=3,
2800,440179489,49662902,CC1=CC(=CC=C1)NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=C(C=C(C=C4)C)C,Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib -6.3 Pct,
2801,440179493,53074222,CSC1=CC=CC(=C1)NC(=O)CN2C(=O)N3C=NC4=C(C3=N2)C5=C(S4)CCCC5,Unspecified,,,,,Inhibition,=,-8.02,%,Average; N=3,
2802,440179556,155549581,CC1=NN(C2=C1C3=NC(=NN3C=N2)C)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,11.24,%,Average; N=2,
2803,440179563,10986610,CC1CC(=C(NC1=O)OC)C#N,Unspecified,,,,,Inhibition,=,16.96,%,Average; N=2,
2804,440179568,44117341,CC1=CC=C(C=C1)CNC(=O)CN2C(=O)N3C(=N2)C=CC(=N3)SC4CCCCC4,Unspecified,,,,,Inhibition,=,11.69,%,Average; N=4,
2805,440179581,155549586,CC1=CC=C(C=C1)C(O)SNNC2=C3C(=NN(C3=NC=N2)C4=CC=CC=C4)C,Unspecified,,,,,Inhibition,=,5.38,%,Average; N=2,
2806,440179605,53028757,CCC1=NN=C2N1C3=CC=CC=C3N=C2SCC(=O)NC4=CC=CC(=C4)C(=O)C,Unspecified,,,,,Inhibition,=,2.41,%,Average; N=4,
2807,440179648,49662966,CCC1=CC=CC=C1SC2=NC=CN3C2=NN(C3=O)CC(=O)NCC4=CC=CS4,Unspecified,,,,,Inhibition,=,6.5,%,Average; N=4,
2808,440179653,49675264,CC1=CC(=C(C(=C1)C)NC(=O)CSC2=NN=C3N2C=C(C=C3)C(=O)NC4=CC(=CC=C4)F)C,Unspecified,,,,,Inhibition,=,12.67,%,Average; N=4,
2809,440179695,155549632,CC(=O)NC1=CN(C(=C1)C(=O)NC2=CN(C(=C2)C(=O)NC3=CN(C(=C3)C(=O)NCCCN(C)C)C)C)C.C(=O)(C(F)(F)F)O,Unspecified,,,,,Inhibition,=,20.29,%,Average; N=2,
2810,440179726,53058648,CC(C)CCN1C(=O)C2=CC=CC=C2N3C1=NN(C3=O)CC#N,Unspecified,,,,,Inhibition,=,16.96,%,Average; N=4,
2811,440179782,49662906,CCOC1=CC=CC=C1NC(=O)CN2C(=O)N3C=CN=C(C3=N2)SC4=C(C=C(C=C4)C)C,Unspecified,,,,,Inhibition,=,2.42,%,Average; N=4,
2812,440179783,225390,CCOC(=O)CCC1=CNC2=CC=CC=C21,Unspecified,,,,,Inhibition,=,-15.79,%,Average; N=2,Outside typical range
2813,440179786,49666105,CC1=CC=C(C=C1)CN(C2=CC=C(C=C2)OC)S(=O)(=O)C3=CN4C(=NN=C4C=C3)C,Unspecified,,,,,Inhibition,=,-1.53,%,Average; N=4,
